 Enter the number of points on the cylinder
 Enter the number of points on the boundary (divisible by 6)
 Enter the number of points in the interior
 Enter the number of neighbours for each point
 coefficients calculated
              x              y              u              v              p
 -0.4393351E+01 -0.6896128E+00  0.1007283E+01 -0.8975687E-01  0.6209332E+01
 -0.2097215E+01 -0.3701804E+00  0.9189167E+00 -0.1240968E+00  0.5967088E+01
 -0.3187908E+01 -0.5802017E+00  0.1045553E+01 -0.5916139E-01  0.6245506E+01
 -0.1056458E+01  0.2128250E+01  0.1287666E+01  0.4290222E-01  0.5616459E+01
  0.2620655E+01  0.1612777E+01  0.1060476E+01 -0.7145020E-01  0.1212216E+01
 -0.3523580E+01 -0.7648519E+00  0.1059767E+01 -0.1114257E+00  0.6049383E+01
  0.3500104E+01  0.1730091E+01  0.1021240E+01 -0.1607788E-01  0.1156918E+01
 -0.3546881E+01  0.1957869E+01  0.9697553E+00 -0.2429224E-02  0.6509700E+01
 -0.9866798E+00  0.3040295E+00  0.3083714E+00  0.2635410E+00  0.5802313E+01
 -0.3695490E+01 -0.1298155E+00  0.9648017E+00 -0.1293199E+00  0.6332841E+01
  0.1537376E+01  0.1627790E+00  0.5316800E+00 -0.8132085E-01  0.1473806E+01
  0.2710843E+01 -0.2261052E+01  0.1055143E+01  0.6486707E-02  0.1294107E+01
  0.3691410E+01  0.8243472E+00  0.9718211E+00 -0.2691149E-01  0.1076521E+01
  0.3350364E+01 -0.1232128E+01  0.1045099E+01  0.7371370E-01  0.1391633E+01
 -0.2811512E+01  0.9990374E+00  0.8542742E+00  0.3924147E-01  0.6362912E+01
  0.2355696E+01  0.1847771E+01  0.1104990E+01 -0.5504834E-01  0.1310967E+01
 -0.1203939E+01  0.1088762E+01  0.1091485E+01  0.3528556E+00  0.6623066E+01
  0.4226395E+01 -0.4055104E+00  0.9898553E+00  0.3864080E-01  0.1132689E+01
 -0.1799958E+01 -0.2365244E+01  0.1047652E+01 -0.3272968E-02  0.6318772E+01
  0.2773930E+01 -0.1371653E+01  0.1108145E+01  0.8272741E-01  0.1358550E+01
 -0.1379145E+01 -0.3871877E+00  0.5708806E+00 -0.7298708E-01  0.5303426E+01
 -0.4376505E+01  0.1507796E+00  0.9770404E+00 -0.8617510E-01  0.6377713E+01
  0.4679853E+01  0.5077486E+00  0.9956041E+00  0.1350708E-02  0.1098550E+01
 -0.3585105E+01 -0.2136770E+01  0.1039629E+01 -0.8431019E-02  0.6050051E+01
  0.2931377E+01  0.1179210E+01  0.1009851E+01 -0.5413284E-01  0.1247499E+01
  0.3002543E+01  0.9019400E+00  0.9722268E+00 -0.3949432E-01  0.1228168E+01
 -0.4506189E+01  0.5349083E+00  0.9829048E+00 -0.5582730E-01  0.6437046E+01
  0.2195342E+01  0.2168280E+01  0.1092664E+01 -0.2067213E-01  0.1334403E+01
  0.3645541E+01  0.5700740E-01  0.9434805E+00  0.4043246E-01  0.1036895E+01
  0.5991058E+00  0.1718425E+01  0.1498562E+01 -0.1116641E+00  0.2722436E+01
  0.4096271E+01  0.1099435E+01  0.9985193E+00 -0.1578861E-01  0.1130707E+01
 -0.1727994E+01 -0.2177344E+00  0.7665013E+00  0.5843112E-01  0.7418501E+01
 -0.1157433E+01 -0.1443048E+00  0.3180814E+00  0.6463045E-01  0.5501957E+01
  0.2170890E+01  0.1739557E+01  0.1133181E+01 -0.7722235E-01  0.1339064E+01
 -0.2982082E+01  0.1802869E+01  0.9687337E+00  0.2028922E-01  0.6534228E+01
 -0.2937897E+01  0.1188793E+01  0.8889335E+00  0.2447296E-01  0.6437591E+01
  0.1567132E+01 -0.1259441E+01  0.1206485E+01  0.1814265E+00  0.1641616E+01
  0.6147661E+00  0.1371250E+01  0.1391462E+01 -0.1849618E+00  0.2698535E+01
  0.1433148E+01  0.1017598E+01  0.1002409E+01 -0.2673903E+00  0.2109273E+01
 -0.2365431E+01  0.4274732E+00  0.7533632E+00  0.7617119E-01  0.6275086E+01
  0.3562713E+01  0.4657818E+00  0.9256562E+00 -0.9503309E-02  0.1044357E+01
 -0.3431995E+01  0.1030233E-01  0.9421523E+00 -0.9706057E-01  0.6502539E+01
 -0.9743232E+00  0.1972680E+01  0.1372352E+01  0.8018670E-01  0.5490441E+01
 -0.3950519E+00 -0.1395786E+01  0.1449444E+01 -0.1438858E+00  0.4787284E+01
  0.3976506E+01 -0.1201237E+01  0.1018707E+01  0.4590545E-01  0.1180652E+01
  0.8820278E+00  0.8494649E-01  0.1853752E+00 -0.3801892E-01  0.8095173E-01
  0.1947508E+01 -0.2130762E+01  0.1153487E+01  0.2349234E-01  0.1622181E+01
  0.3846111E+01  0.9183426E+00  0.9863657E+00 -0.2246132E-01  0.1113177E+01
 -0.4013252E+01  0.1650667E+01  0.9732835E+00 -0.1566429E-01  0.6489282E+01
  0.2988886E+01 -0.1625935E+01  0.1095510E+01  0.5136508E-01  0.1275370E+01
  0.2451929E+00 -0.8989882E+00  0.1082289E+01  0.1431556E+00  0.2857866E+01
  0.1644181E+01  0.1732801E+01  0.1242907E+01 -0.1085704E+00  0.1889571E+01
 -0.4167310E+01  0.7947720E+00  0.9644746E+00 -0.5765088E-01  0.6438431E+01
  0.3449939E+01 -0.6237622E+00  0.9853431E+00  0.8837857E-01  0.1175326E+01
  0.6318914E+00 -0.1502092E+01  0.1463237E+01  0.1551266E+00  0.2520311E+01
 -0.2516743E+01 -0.2057460E+01  0.1063179E+01 -0.7054652E-02  0.5930522E+01
  0.3860162E+01  0.2266070E+00  0.9538174E+00  0.1290689E-01  0.1146022E+01
  0.9404926E+00  0.1659235E+01  0.1414108E+01 -0.1259500E+00  0.2443393E+01
 -0.3169542E+01  0.1631464E+01  0.9453265E+00  0.1002775E-01  0.6569808E+01
 -0.1230705E+01  0.1421109E+01  0.1249060E+01  0.2440939E+00  0.5893231E+01
 -0.4712438E+01 -0.1780627E+01  0.1003802E+01 -0.1284271E-01  0.6066874E+01
  0.1043316E+01  0.2211101E+01  0.1220749E+01 -0.1905958E-01  0.2143853E+01
 -0.4810609E+01 -0.5598625E+00  0.9977003E+00 -0.3537270E-01  0.6207574E+01
  0.2334108E+01 -0.3111071E+00  0.8046051E+00  0.2528342E-01  0.1438294E+01
  0.1338892E+01 -0.1708726E+01  0.1337736E+01  0.8709733E-01  0.1952583E+01
  0.3952632E+01  0.1762296E+01  0.1010317E+01 -0.7390309E-02  0.1131675E+01
 -0.2881261E+00  0.2275477E+01  0.1273963E+01  0.8355385E-02  0.4306839E+01
 -0.8058558E-01  0.1331840E+01  0.1436378E+01  0.1566997E-01  0.3708661E+01
 -0.1090844E+00 -0.1708134E+01  0.1547590E+01 -0.1593729E-01  0.3769262E+01
 -0.1484833E+01 -0.9062582E+00  0.1110562E+01 -0.2284541E+00  0.5346747E+01
 -0.1423112E+01 -0.1326634E+01  0.1222087E+01 -0.2166578E+00  0.5808721E+01
  0.4784154E+01  0.1437253E+01  0.1000457E+01 -0.3436470E-02  0.1129926E+01
  0.1530264E+01 -0.2219281E+01  0.1168575E+01  0.1422188E-01  0.2000596E+01
  0.4044572E+00 -0.1567331E+01  0.1510541E+01  0.1189061E+00  0.2957067E+01
 -0.4063645E+01  0.3173142E+00  0.9518104E+00 -0.9407770E-01  0.6414168E+01
 -0.4381942E+01  0.1006394E+01  0.9800900E+00 -0.3964834E-01  0.6468274E+01
 -0.1425650E+01  0.9942619E+00  0.9025492E+00  0.3796134E+00  0.4575526E+01
  0.9590408E+00 -0.1309948E+01  0.1366677E+01  0.1663234E+00  0.2031370E+01
 -0.2206126E+01  0.3302069E-01  0.9556519E+00  0.5602957E-01  0.4428160E+01
 -0.4635836E+01 -0.1001294E+01  0.1005747E+01 -0.5127578E-01  0.6145880E+01
  0.1705575E+01 -0.1528592E+01  0.1236948E+01  0.1144796E+00  0.1652629E+01
 -0.1739001E+00  0.2362966E+01  0.1180942E+01  0.1827155E-02  0.3975578E+01
 -0.8903539E+00 -0.3505384E+00  0.3087023E+00 -0.8319682E-01  0.6358325E+01
  0.2728311E+01  0.1252765E+01  0.1020201E+01 -0.7811228E-01  0.1224388E+01
 -0.1468130E+01 -0.1638561E+01  0.1336313E+01 -0.1649137E+00  0.5778308E+01
 -0.4572661E+01 -0.6086451E+00  0.1001125E+01 -0.7005261E-01  0.6222657E+01
 -0.2538897E+01 -0.4979476E+00  0.1078340E+01 -0.9929458E-01  0.5706954E+01
 -0.4529887E+01  0.1910928E+01  0.9932939E+00 -0.4959129E-02  0.6491635E+01
 -0.1797927E+01  0.1771008E+01  0.1160944E+01  0.1388844E+00  0.6266187E+01
 -0.2616007E+01  0.1493024E+01  0.9475066E+00  0.9380982E-01  0.6318686E+01
 -0.5904781E+00 -0.2206487E+01  0.1295233E+01 -0.1489484E-01  0.4872303E+01
  0.3428716E+01 -0.1794490E+01  0.1055140E+01  0.2817610E-01  0.1225813E+01
  0.4604242E+01  0.2899625E-01  0.9942224E+00  0.1344538E-01  0.1105657E+01
  0.3876099E+01 -0.2140070E+01  0.1018017E+01  0.6682569E-02  0.1178817E+01
 -0.2114375E+01 -0.6309628E+00  0.1001342E+01 -0.1071592E+00  0.3996727E+01
  0.4600787E+01  0.2313879E+00  0.9931667E+00  0.8442184E-02  0.1102764E+01
  0.2695010E-01  0.8923488E+00  0.1036492E+01 -0.2937785E-01  0.3671868E+01
 -0.1150211E+01 -0.2832043E+00  0.3667808E+00 -0.2798713E-01  0.6094574E+01
  0.1190174E+01  0.1780063E+01  0.1351102E+01 -0.9779161E-01  0.2089050E+01
 -0.2312101E+01 -0.5244726E+00  0.1050648E+01 -0.1253885E+00  0.5319878E+01
  0.1349370E+01 -0.2536079E+00  0.4904142E+00  0.7506652E-01  0.4297584E+00
 -0.4123445E+01 -0.1157211E+01  0.1040392E+01 -0.7936742E-01  0.6121182E+01
 -0.2524919E+01  0.1954252E+01  0.1007908E+01  0.4065491E-01  0.6586364E+01
  0.4770888E+01 -0.1772081E+01  0.1001266E+01  0.4510150E-02  0.1193435E+01
  0.2638323E+00 -0.2245513E+01  0.1275420E+01  0.8493548E-02  0.3315895E+01
 -0.3215505E+01  0.1979345E+00  0.8818559E+00 -0.1095360E+00  0.6643042E+01
 -0.1307149E+01 -0.1263041E+01  0.1228557E+01 -0.2020602E+00  0.6134454E+01
 -0.6747196E+00  0.4569395E-01  0.4613352E-01  0.7145336E-01  0.6850283E+01
